country,country_slug,category_cluster,page_slug,url,brand_count,active_count,lead_brands,status
Peru,peru,prepared meals,best-prepared-meal-delivery,/countries/peru/best-prepared-meal-delivery/,1,1,Delimas,generated
Philippines,philippines,diet prepared meals,best-diet-meal-delivery,/countries/philippines/best-diet-meal-delivery/,7,7,FitFood Manila | Pickle.ph | The Hearty Grub | The Six Pack Chef | Dear Diet,generated
Philippines,philippines,high protein meal prep,best-high-protein-meal-prep,/countries/philippines/best-high-protein-meal-prep/,1,1,Fit Kitchen PH,generated
Poland,poland,diet prepared meals,best-diet-meal-delivery,/countries/poland/best-diet-meal-delivery/,7,7,Body Chief | Kuchnia Vikinga | Maczfit | Nice To Fit You | Fit Apetit,generated
Portugal,portugal,diet prepared meals,best-diet-meal-delivery,/countries/portugal/best-diet-meal-delivery/,1,1,Comer Melhor,generated
Portugal,portugal,grocery dinner delivery,best-grocery-dinner-delivery,/countries/portugal/best-grocery-dinner-delivery/,1,1,Celeiro,generated
Portugal,portugal,meal kit,best-meal-kits,/countries/portugal/best-meal-kits/,1,1,Natalie's Healthy Kitchen,generated
Portugal,portugal,prepared meals,best-prepared-meal-delivery,/countries/portugal/best-prepared-meal-delivery/,2,2,EatTasty | Go Natural,generated
Puerto Rico,puerto-rico,high protein meal prep,best-high-protein-meal-prep,/countries/puerto-rico/best-high-protein-meal-prep/,1,1,Macrobox Kitchen,generated
Qatar,qatar,diet prepared meals,best-diet-meal-delivery,/countries/qatar/best-diet-meal-delivery/,3,3,Benefit Qatar | Dieture | Diet Delights Qatar,generated
Qatar,qatar,prepared meals,best-prepared-meal-delivery,/countries/qatar/best-prepared-meal-delivery/,1,1,Calo Qatar,generated
Romania,romania,diet prepared meals,best-diet-meal-delivery,/countries/romania/best-diet-meal-delivery/,5,5,Fit Food Way | LifeBox | LifeBox Romania | FoodKit | Caserola Fit,generated
Saudi Arabia,saudi-arabia,diet prepared meals,best-diet-meal-delivery,/countries/saudi-arabia/best-diet-meal-delivery/,3,3,Diet Center | Right Bite Saudi Arabia | Low Calorie Saudi,generated
Saudi Arabia,saudi-arabia,prepared meals,best-prepared-meal-delivery,/countries/saudi-arabia/best-prepared-meal-delivery/,1,1,Calo Saudi Arabia,generated
Serbia,serbia,diet prepared meals,best-diet-meal-delivery,/countries/serbia/best-diet-meal-delivery/,2,2,28Ishrana | Vit Fit Serbia,generated
Singapore,singapore,diet prepared meals,best-diet-meal-delivery,/countries/singapore/best-diet-meal-delivery/,1,1,Nutrify Meals,generated
Singapore,singapore,healthy meal delivery,best-healthy-meal-delivery,/countries/singapore/best-healthy-meal-delivery/,1,1,AMGD,generated
Singapore,singapore,meal prep | high protein prepared meals,best-high-protein-meal-prep,/countries/singapore/best-high-protein-meal-prep/,3,3,Yummy Bros | FitThree | Lean Bento,generated
Singapore,singapore,prepared meals | keto prepared meals,best-prepared-meal-delivery,/countries/singapore/best-prepared-meal-delivery/,9,9,Grain | Nutrition Kitchen | Keto Eato | Ketomei | YoloFoods,generated
Slovakia,slovakia,diet prepared meals,best-diet-meal-delivery,/countries/slovakia/best-diet-meal-delivery/,1,1,Zdrave Stravovanie Slovakia,generated
South Africa,south-africa,diet prepared meals,best-diet-meal-delivery,/countries/south-africa/best-diet-meal-delivery/,1,1,FitFoodz South Africa,generated
South Africa,south-africa,frozen meals | frozen prepared meals,best-frozen-meal-delivery,/countries/south-africa/best-frozen-meal-delivery/,4,4,Frozen For You | We Are Food | BexTheChef | Frozen Food Factory,generated
South Africa,south-africa,high protein meal prep,best-high-protein-meal-prep,/countries/south-africa/best-high-protein-meal-prep/,1,1,Safari Eatz,generated
South Africa,south-africa,meal kit,best-meal-kits,/countries/south-africa/best-meal-kits/,6,6,UCOOK | Daily Dish | Dinnerbox | DinnerMates | TasteBox,generated
South Africa,south-africa,non-commercial meal support,best-non-commercial-meal-support,/countries/south-africa/best-non-commercial-meal-support/,1,0,Food & Trees for Africa Meals,generated
