country,country_slug,category_cluster,page_slug,url,brand_count,active_count,lead_brands,status
Colombia,colombia,diet prepared meals,best-diet-meal-delivery,/countries/colombia/best-diet-meal-delivery/,2,2,Manzana Verde Colombia | Meal Prep Consciente,generated
Colombia,colombia,prepared meals | prepared lunches,best-prepared-meal-delivery,/countries/colombia/best-prepared-meal-delivery/,3,3,Foody Colombia | Mingu | Como en Casa Bogota,generated
Croatia,croatia,diet prepared meals,best-diet-meal-delivery,/countries/croatia/best-diet-meal-delivery/,1,1,LightFork,generated
Cyprus,cyprus,diet prepared meals,best-diet-meal-delivery,/countries/cyprus/best-diet-meal-delivery/,3,3,Healthy Meals Cyprus | HealthyBox Cyprus | FamilyChef Cyprus,generated
Cyprus,cyprus,kids and family meal plans,best-kids-meal-delivery,/countries/cyprus/best-kids-meal-delivery/,1,1,Family Kitchen Cyprus,generated
Cyprus,cyprus,prepared meals,best-prepared-meal-delivery,/countries/cyprus/best-prepared-meal-delivery/,2,2,Ofelimon | Milts Food,generated
Czech Republic,czech-republic,diet prepared meals,best-diet-meal-delivery,/countries/czech-republic/best-diet-meal-delivery/,8,8,Yes Krabicky | Zdrave Stravovani | Zdravé stravování | FitKitchen Czech Republic | Nutric Bistro,generated
Denmark,denmark,meal kit,best-meal-kits,/countries/denmark/best-meal-kits/,4,4,HelloFresh | HelloFresh Denmark | RetNemt | Skagenfood,generated
Denmark,denmark,organic meal kit,best-organic-meal-kits,/countries/denmark/best-organic-meal-kits/,1,1,Aarstiderne,generated
Egypt,egypt,diet prepared meals,best-diet-meal-delivery,/countries/egypt/best-diet-meal-delivery/,3,3,Diet Hub Egypt | Diet to Door Egypt | Calories Egypt,generated
Egypt,egypt,high protein meal prep,best-high-protein-meal-prep,/countries/egypt/best-high-protein-meal-prep/,1,1,Protein Box Egypt,generated
Egypt,egypt,meal kit,best-meal-kits,/countries/egypt/best-meal-kits/,1,1,Chef Box Egypt,generated
Estonia,estonia,diet prepared meals,best-diet-meal-delivery,/countries/estonia/best-diet-meal-delivery/,3,3,HealthyFood Tallinn | SmartFOOD Estonia | MealPrep Baltic Estonia,generated
Estonia,estonia,high protein meal prep,best-high-protein-meal-prep,/countries/estonia/best-high-protein-meal-prep/,1,1,EasyEats Estonia,generated
Europe,europe,complete nutrition meal replacement,best-complete-nutrition-meal-replacement,/countries/europe/best-complete-nutrition-meal-replacement/,7,7,Mana | yfood | Bertrand | Jake | Queal,generated
Finland,finland,frozen prepared meals,best-frozen-meal-delivery,/countries/finland/best-frozen-meal-delivery/,1,1,Menumat,generated
Finland,finland,meal kit,best-meal-kits,/countries/finland/best-meal-kits/,1,1,Ruokaboksi,generated
Finland,finland,prepared meals | ready meals,best-prepared-meal-delivery,/countries/finland/best-prepared-meal-delivery/,3,3,Calori | FuelMe | Komero Food,generated
France,france,complete nutrition meal replacement,best-complete-nutrition-meal-replacement,/countries/france/best-complete-nutrition-meal-replacement/,1,1,Feed,generated
France,france,diet prepared meals,best-diet-meal-delivery,/countries/france/best-diet-meal-delivery/,3,3,Comme J'aime | Dietbon | Cheef,generated
France,france,frozen prepared meals,best-frozen-meal-delivery,/countries/france/best-frozen-meal-delivery/,1,1,Cuisinery,generated
France,france,grocery dinner delivery,best-grocery-dinner-delivery,/countries/france/best-grocery-dinner-delivery/,2,2,Jow | La Belle Vie,generated
France,france,meal kit,best-meal-kits,/countries/france/best-meal-kits/,4,4,HelloFresh | Quitoque | Les Commis | Foodette,generated
France,france,organic meal kit,best-organic-meal-kits,/countries/france/best-organic-meal-kits/,1,1,Rutabago,generated
France,france,prepared meals,best-prepared-meal-delivery,/countries/france/best-prepared-meal-delivery/,7,6,Seazon | FoodChéri | Kitchen Daily | Rutiz | Frichti,generated
Germany,germany,diet prepared meals,best-diet-meal-delivery,/countries/germany/best-diet-meal-delivery/,1,1,EveryFitDay,generated
Germany,germany,plant-based frozen meals | frozen plant-based meals | frozen meals | frozen prepared meals,best-frozen-meal-delivery,/countries/germany/best-frozen-meal-delivery/,8,8,Bofrost | every | Every Foods | Frosta | Juit,generated
Germany,germany,grocery dinner delivery | grocery dinner helper,best-grocery-dinner-delivery,/countries/germany/best-grocery-dinner-delivery/,3,3,Just Spices | KoRo | Reishunger,generated
Germany,germany,fitness prepared meals | high protein prepared meals,best-high-protein-meal-prep,/countries/germany/best-high-protein-meal-prep/,3,3,Loewenanteil | Löwenanteil | prepmymeal,generated
Germany,germany,meal kit | meal kit and prepared meals,best-meal-kits,/countries/germany/best-meal-kits/,2,2,HelloFresh | Marley Spoon,generated
Germany,germany,organic meal kit,best-organic-meal-kits,/countries/germany/best-organic-meal-kits/,1,1,wyldr,generated
Germany,germany,prepared meals,best-prepared-meal-delivery,/countries/germany/best-prepared-meal-delivery/,1,1,Factor,generated
Global,global,complete nutrition meal replacement,best-complete-nutrition-meal-replacement,/countries/global/best-complete-nutrition-meal-replacement/,3,3,Huel | Jimmy Joy | Ambronite,generated
Global,global,meal kit | healthy meal kit,best-meal-kits,/countries/global/best-meal-kits/,3,0,Green Chef | HelloFresh | Marley Spoon,generated
Global,global,prepared meals,best-prepared-meal-delivery,/countries/global/best-prepared-meal-delivery/,1,0,Factor,generated
Global,global,budget meal kit,cheap-meal-delivery,/countries/global/cheap-meal-delivery/,2,0,Dinnerly | EveryPlate,generated
Greece,greece,diet prepared meals,best-diet-meal-delivery,/countries/greece/best-diet-meal-delivery/,2,2,Nutrichef Greece | Food for Fitness Greece,generated
Greece,greece,high protein meal prep,best-high-protein-meal-prep,/countries/greece/best-high-protein-meal-prep/,1,1,Fitness Meals Greece,generated
Hong Kong,hong-kong,diet prepared meals,best-diet-meal-delivery,/countries/hong-kong/best-diet-meal-delivery/,1,1,Eatology Hong Kong,generated
Hong Kong,hong-kong,high protein meal prep,best-high-protein-meal-prep,/countries/hong-kong/best-high-protein-meal-prep/,1,1,Mealthy HK,generated
Hong Kong,hong-kong,prepared meals,best-prepared-meal-delivery,/countries/hong-kong/best-prepared-meal-delivery/,8,8,NOSH | Nutrition Kitchen | Eatology | Fittery | Nutrition Kitchen Hong Kong,generated
Hungary,hungary,diet prepared meals,best-diet-meal-delivery,/countries/hungary/best-diet-meal-delivery/,1,1,Smartfood Hungary,generated
Hungary,hungary,prepared meals,best-prepared-meal-delivery,/countries/hungary/best-prepared-meal-delivery/,4,4,Food Revolution Hungary | Cityfood | Interfood | Teletál,generated
India,india,diet prepared meals | diet meal planning,best-diet-meal-delivery,/countries/india/best-diet-meal-delivery/,6,6,Food Darzee | ACTIVeat | Kcal Healthy Food | Calorie Care | Fitmeals India,generated
India,india,healthy meal delivery,best-healthy-meal-delivery,/countries/india/best-healthy-meal-delivery/,2,2,EatFit | Healthie,generated
India,india,healthy meal subscription,best-healthy-meal-subscription,/countries/india/best-healthy-meal-subscription/,1,1,Zomato Healthy Subscriptions,generated
India,india,meal prep,best-high-protein-meal-prep,/countries/india/best-high-protein-meal-prep/,1,1,Fitmeals,generated
India,india,meal subscription,best-meal-subscription,/countries/india/best-meal-subscription/,1,1,Sprink,generated
India,india,prepared meals,best-prepared-meal-delivery,/countries/india/best-prepared-meal-delivery/,1,1,FreshMenu,generated
Indonesia,indonesia,diet prepared meals,best-diet-meal-delivery,/countries/indonesia/best-diet-meal-delivery/,1,1,YellowFit Kitchen,generated
Indonesia,indonesia,plant-based prepared meals,best-prepared-meal-delivery,/countries/indonesia/best-prepared-meal-delivery/,1,1,Burgreens,generated
Ireland,ireland,diet prepared meals,best-diet-meal-delivery,/countries/ireland/best-diet-meal-delivery/,1,1,BodyChef Ireland,generated
Ireland,ireland,frozen prepared meals,best-frozen-meal-delivery,/countries/ireland/best-frozen-meal-delivery/,1,1,Eatto,generated
Ireland,ireland,high protein meal prep,best-high-protein-meal-prep,/countries/ireland/best-high-protein-meal-prep/,1,1,Clean Cut Meals,generated
Ireland,ireland,meal kit and prepared meals | meal kit,best-meal-kits,/countries/ireland/best-meal-kits/,3,2,DropChef | HelloFresh Ireland | Eatstro,generated
Ireland,ireland,prepared meals | plant-based prepared meals,best-prepared-meal-delivery,/countries/ireland/best-prepared-meal-delivery/,26,5,Gourmet Fuel | Fit Foods Ireland | GourmetFuel | LeanBox | The Good Prep Ireland,generated
Italy,italy,diet prepared meals,best-diet-meal-delivery,/countries/italy/best-diet-meal-delivery/,2,2,Mi Piace Cosi | Dieta Chef,generated
Italy,italy,grocery dinner delivery,best-grocery-dinner-delivery,/countries/italy/best-grocery-dinner-delivery/,1,1,Cortilia,generated
Italy,italy,meal kit,best-meal-kits,/countries/italy/best-meal-kits/,4,4,HelloFresh Italy | My Cooking Box | Quomi | SecondChef,generated
Italy,italy,premium meal kit,best-premium-meal-kits,/countries/italy/best-premium-meal-kits/,1,1,Fratelli Desideri,generated
Italy,italy,prepared meals,best-prepared-meal-delivery,/countries/italy/best-prepared-meal-delivery/,4,3,Nutribees | Foorban | MiCibo | FrescoFrigo,generated
Japan,japan,frozen prepared meals,best-frozen-meal-delivery,/countries/japan/best-frozen-meal-delivery/,4,4,FIT FOOD HOME | GREEN SPOON Japan | Mitsuboshi Farm | nosh Japan,generated
Japan,japan,meal kit and grocery dinner delivery | grocery dinner delivery,best-grocery-dinner-delivery,/countries/japan/best-grocery-dinner-delivery/,2,2,Oisix | Co-op Deli,generated
